A[32] B[32] Cin[1] V[1] C[32]
-142666502 914906552 1 0 772240051
-1028354770 1626102188 0 0 597747418
643193693 1832384821 1 1 -1819388781
-1437518640 -1784396149 0 1 1073052507
-1007826707 -1692102329 0 1 1595038260
1661251752 -382503709 1 0 1278748044
1093385475 -1809101992 1 0 -715716516
1742074021 -246599237 0 0 1495474784
158340934 1474888722 0 0 1633229656
-2015855605 1946617248 0 0 -69238357
-1504391577 866204332 1 0 -638187244
1614390580 -1641718946 0 0 -27328366
-1521303531 4533526 1 0 -1516770004
-2041091392 441101498 1 0 -1599989893
-950568427 844710120 1 0 -105858306
294649110 -1020598109 1 0 -725948998
1849327248 -74475921 0 0 1774851327
1585257964 -192060970 0 0 1393196994
917688875 1640862193 0 1 -1736416228
-1555089072 1795272606 0 0 240183534
-675161141 479092486 0 0 -196068655
71319193 -193138947 0 0 -121819754
-1541819254 1804827530 1 0 263008277
-2092779181 100231439 0 0 -1992547742
-1547376050 1804206837 1 0 256830788
-1970189210 -1324602117 1 1 1000175970
391283677 1568926073 0 0 1960209750
831835371 -1871418767 0 0 -1039583396
-2089193686 2002876749 0 0 -86316937
1491224324 1569592118 1 1 -1234150853
759083818 -1354538699 0 0 -595454881
-1331849011 -2001720259 1 1 961398027
-2022849934 230212558 1 0 -1792637375
-954660662 2140698554 0 0 1186037892
1435196390 -1485600826 0 0 -50404436
264240275 -1637264638 0 0 -1373024363
-1632902436 734706451 1 0 -898195984
675121716 892697821 0 0 1567819537
-1406487480 222260629 1 0 -1184226850
1861016379 1964922643 0 1 -469028274
-1716119168 567118587 0 0 -1149000581
-1785319178 -223611977 1 0 -2008931154
1395417846 -840229369 1 0 555188478
-1968739131 -1295648835 0 1 1030579330
-796561365 1456788845 1 0 660227481
1835273064 -1927470904 0 0 -92197840
1367930818 641292442 0 0 2009223260
1057036909 -1970261978 1 0 -913225068
1644436919 -1549782135 0 0 94654784
-476223610 1761457076 0 0 1285233466
-285348776 -827228528 0 0 -1112577304
-939084935 232688217 0 0 -706396718
-1754409044 404734476 0 0 -1349674568
-859648716 311726854 0 0 -547921862
666686695 794204502 0 0 1460891197
655975701 -1129898972 1 0 -473923270
1563173382 -1427529991 0 0 135643391
619509927 1370031503 1 0 1989541431
-59406751 -1436036291 0 0 -1495443042
106132186 1933180804 1 0 2039312991
-1400444432 1900177836 0 0 499733404
145698625 -1678101644 0 0 -1532403019
-1795557201 1651629085 1 0 -143928115
1444529493 1256558511 1 1 -1593879291
1193182171 1888685963 0 1 -1213099162
2000666963 -1411782727 0 0 588884236
735895267 -1531424248 0 0 -795528981
1609223462 1451809569 0 1 -1233934265
581808511 955798077 1 0 1537606589
-1882303958 2071245840 1 0 188941883
141262550 701602580 0 0 842865130
-768558703 402305439 0 0 -366253264
287501874 1707722284 0 0 1995224158
-586420717 -1194618558 1 0 -1781039274
-1980092949 1674842903 0 0 -305250046
-1123972753 357497994 0 0 -766474759
-1274502245 642817797 1 0 -631684447
-646543216 -2041412231 1 1 1607011850
-602281727 390931713 0 0 -211350014
1764169401 110380146 0 0 1874549547
-1596770669 -2056201962 1 1 641994666
-531609379 -1158832854 1 0 -1690442232
-1465038651 1999875502 1 0 534836852
1638079888 1550486094 0 1 -1106401314
965040023 -2086324545 0 0 -1121284522
-2117465346 -1688195273 0 1 489306677
922681486 1941326131 0 1 -1430959679
1787630476 1048525486 1 1 -1458811333
-1303302892 -1494886711 1 1 1496777694
258003532 1469040903 0 0 1727044435
218040348 1576814849 1 0 1794855198
406371176 123733685 1 0 530104862
-2080266927 349606612 1 0 -1730660314
2014612976 2106900263 1 1 -173454056
185144607 1584540569 0 0 1769685176
1225620001 84733109 1 0 1310353111
-939081404 363433072 1 0 -575648331
1468789672 -683924600 0 0 784865072
1305371723 -915247074 1 0 390124650
-1264777580 -1470747040 1 1 1559442677
1956149667 758676371 0 1 -1580141258
2009417692 -185753790 1 0 1823663903
-892694668 -986096937 0 0 -1878791605
-418365109 -921485738 0 0 -1339850847
-1782129042 855286090 0 0 -926842952
398571818 1722673454 1 0 2121245273
-1145968600 1772713479 1 0 626744880
535889334 -549478994 0 0 -13589660
-597771073 -1938061875 0 1 1759134348
277127261 1161824100 1 0 1438951362
1810662346 652881829 0 1 -1831423121
524225214 -951796757 0 0 -427571543
101604586 1751055058 0 0 1852659644
-1958977812 525673866 1 0 -1433303945
-239654085 -1480047690 0 0 -1719701775
1389505402 -136001454 1 0 1253503949
1648323788 -1553658733 1 0 94665056
1164888543 1498066058 0 1 -1632012695
-297780518 727060704 1 0 429280187
-307404317 -1401887088 0 0 -1709291405
2007105025 -1666956103 0 0 340148922
-177644478 -1157470150 1 0 -1335114627
-33479933 1217740514 1 0 1184260582
1699978622 1303120818 0 1 -1291867856
-708656707 204642611 0 0 -504014096
169657707 653166323 1 0 822824031
1065616866 943638802 0 0 2009255668
1367664996 1033757615 1 1 -1893544684
-1350298038 585241495 0 0 -765056543
1183798218 1701154943 1 1 -1410014134
1006686693 -1890419705 1 0 -883733011
139530132 -1991377001 0 0 -1851846869
-1638188875 -760113602 1 1 1896664820
-5859774 -1510874764 0 0 -1516734538
1810399405 1528125768 0 1 -956442123
1549777245 256273628 0 0 1806050873
73644268 -1196954414 1 0 -1123310145
155110099 -150526442 1 0 4583658
-864814887 -1866173928 1 1 1563978482
-821220682 -254043305 1 0 -1075263986
1399666517 -1128796971 0 0 270869546
316363314 -601032090 0 0 -284668776
-224531542 -1616345185 0 0 -1840876727
1480203642 663092832 1 0 2143296475
790496191 578536411 1 0 1369032603
1362033495 -520450083 0 0 841583412
228324047 -1822259924 0 0 -1593935877
-1381471762 1835290094 1 0 453818333
-1399144921 1313605428 0 0 -85539493
2090665540 819730154 0 1 -1384571602
495907875 1758706708 1 1 -2040352712
321996593 -1138578406 1 0 -816581812
-683865122 1522338262 1 0 838473141
-321832675 1760813001 0 0 1438980326
1626153896 870335036 0 1 -1798478364
-1220379324 297272082 0 0 -923107242
-139733618 1033199326 1 0 893465709
875751979 -367192589 1 0 508559391
1316816900 2066621972 0 1 -911528424
1881441638 494574437 1 1 -1918951220
534174198 -1681284815 1 0 -1147110616
-575891072 -1022200837 1 0 -1598091908
1533488491 -34116794 1 0 1499371698
-1866237239 -481868647 0 1 1946861410
-320068697 1349598882 0 0 1029530185
1568363321 903686028 1 1 -1822917946
-1672325568 1694791211 1 0 22465644
1012131853 -1113172911 0 0 -101041058
-1519618423 -1995173531 1 1 780175343
-874595235 473069597 1 0 -401525637
1225185304 467938420 1 0 1693123725
1279349035 1115680354 0 1 -1899937907
-338549907 -580956700 0 0 -919506607
540480745 -681572647 1 0 -141091901
1372457756 -1087028990 1 0 285428767
736516616 -1487226608 0 0 -750709992
-800486708 -1874811526 0 1 1619669062
1742465759 604187659 1 1 -1948313877
-1732410641 -1203375555 1 1 1359181101
342028359 -285497850 1 0 56530510
1767825473 -2038543964 1 0 -270718490
-1563835875 1938732039 1 0 374896165
-1003524987 566163856 0 0 -437361131
-781794140 -2075348735 1 1 1437824422
1502530956 1194945413 0 1 -1597490927
-722765031 -647468046 1 0 -1370233076
1069242677 -1397730026 0 0 -328487349
1944753985 -1489093792 1 0 455660194
2051921780 -1891820563 1 0 160101218
1745893172 185829376 0 0 1931722548
1672566204 -299661028 1 0 1372905177
-555327916 572605979 0 0 17278063
1874743752 -147060813 0 0 1727682939
862460813 -2017175517 0 0 -1154714704
544929185 -649628062 0 0 -104698877
1939588550 737733830 0 1 -1617644916
1167239089 -13992741 1 0 1153246349
21168125 1093936893 1 0 1115105019
-1551413398 -796846003 1 1 1946707896
1203180655 293513087 0 0 1496693742
-1523051368 -1930300001 1 1 841615928
-584518691 1643302181 1 0 1058783491
105034800 -479286541 0 0 -374251741
1696119157 -473385658 1 0 1222733500
-1616239579 -896532621 0 1 1782195096
-308383303 -1349030991 1 0 -1657414293
792642781 -932123339 1 0 -139480557
-1523229479 -305271928 0 0 -1828501407
696282943 -1435284512 1 0 -739001568
-1129671973 236189563 0 0 -893482410
-861271157 474004876 1 0 -387266280
731870672 -1891076154 1 0 -1159205481
-680360363 423926244 0 0 -256434119
-735570556 1020801463 1 0 285230908
-328225373 339263975 0 0 11038602
977236944 1160430539 1 0 2137667484
231183048 758920793 0 0 990103841
-424970908 122818600 1 0 -302152307
285521827 -1327853689 1 0 -1042331861
-803485996 -137182255 1 0 -940668250
1854515384 -1445330355 1 0 409185030
1651356381 -1422181177 1 0 229175205
1023824220 444773634 1 0 1468597855
433627580 -572648383 0 0 -139020803
635270592 653609736 1 0 1288880329
1318905157 -1432995695 0 0 -114090538
-2084341238 -1836633900 1 1 373992159
61698350 -620050032 1 0 -558351681
257147418 1979661788 0 1 -2058158090
1571168453 -1950504872 0 0 -379336419
1234514141 1151432899 1 1 -1909020255
1269670184 61955044 0 0 1331625228
1918424329 540693904 1 1 -1835849062
-1832301750 1810526422 0 0 -21775328
1771610050 -162533590 0 0 1609076460
-44256950 -1167627929 0 0 -1211884879
549754453 -1155851635 1 0 -606097181
457254500 797659625 1 0 1254914126
-1788933993 -359164212 0 1 2146869091
-914020544 -992312163 0 0 -1906332707
34656683 -595249873 0 0 -560593190
-536074101 -1477764906 1 0 -2013839006
-1815075884 -1985811094 0 1 494080318
209444327 -316892366 0 0 -107448039
629686621 -1086628533 0 0 -456941912
1873684466 -1486145807 1 0 387538660
-1607950054 44604748 1 0 -1563345305
-883045298 1141690948 1 0 258645651
-1659496246 -1520253190 1 1 1115217861
-545200747 -1676333470 0 1 2073433079
-846276372 -1990361400 0 1 1458329524
-2061792211 -618455738 0 1 1614719347
-1743496348 -679931040 1 1 1871539909
1031760670 -1590953793 1 0 -559193122
-1764514666 -760268329 0 1 1770184301
-1672702391 -808824649 1 1 1813440257
-1267634423 -1479936183 1 1 1547396691
1138388635 -2072324249 0 0 -933935614
-1442563969 1968605831 1 0 526041863
45173 -251353243 1 0 -251308069
-1317983156 1011399486 1 0 -306583669
1581066455 1828703814 0 1 -885197027
-1559258640 -202230764 0 0 -1761489404
-224574609 587038360 0 0 362463751
353995109 1760466810 1 0 2114461920
-557188888 -334860573 1 0 -892049460
-1059780570 -1432826202 1 1 1802360525
885263785 -1374607227 1 0 -489343441
-1691463814 449110749 0 0 -1242353065
1531400762 2068940955 1 1 -694625578
27935125 -725435836 0 0 -697500711
-577908070 -3043974 1 0 -580952043
1975495048 677591064 0 1 -1641881184
962163239 -1309568217 0 0 -347404978
313886241 1367014716 0 0 1680900957
-402822559 1881126162 0 0 1478303603
-2140311792 1239675063 1 0 -900636728
-746220040 -1486016738 0 1 2062730518
-417948517 1460490937 1 0 1042542421
-1745340698 -38490813 1 0 -1783831510
-2096640585 963061381 0 0 -1133579204
319584322 -1822891396 0 0 -1503307074
146953748 -498059964 0 0 -351106216
817030768 -408825670 1 0 408205099
-1945562412 667552927 1 0 -1278009484
1062559759 -437090246 0 0 625469513
-1039580689 714205094 1 0 -325375594
-1361143046 1319787177 0 0 -41355869
-1962933783 880409949 0 0 -1082523834
1072704852 276584415 1 0 1349289268
-1580977641 277160347 1 0 -1303817293
1484379618 -449884631 1 0 1034494988
1096850961 944437610 0 0 2041288571
-164455078 424898988 1 0 260443911
202772890 -1253091484 0 0 -1050318594
-1172145147 -1887151949 0 1 1235670200
-1193021488 -1459232595 0 1 1642713213
1893519744 -1829514420 0 0 64005324
313264805 469369841 1 0 782634647
1447556061 650574276 1 0 2098130338
-1510183364 535716730 0 0 -974466634
-1335736325 1731950967 1 0 396214643
74126140 -2137349881 0 0 -2063223741
-1326986874 -10983801 1 0 -1337970674
1015167939 -850443124 1 0 164724816
1658005384 -1170038707 1 0 487966678
-777720145 157009923 1 0 -620710221
860181850 -342460229 1 0 517721622
1000550740 380338083 0 0 1380888823
535894447 1041713223 1 0 1577607671
-892550740 -1229201472 1 0 -2121752211
1014575621 1839453474 0 1 -1440938201
435933513 2096482900 0 1 -1762550883
1743947317 640323050 0 1 -1910696929
-1582321070 -564767057 1 0 -2147088126
-575387091 2133754378 1 0 1558367288
1385125022 -1276489997 1 0 108635026
1731478426 -1360421684 0 0 371056742
1804731785 1264810021 1 1 -1225425489
-410866608 -1310423340 0 0 -1721289948
1478812403 -273141178 0 0 1205671225
-1354611957 1608744978 0 0 254133021
499669691 55660147 0 0 555329838
597566036 1910743994 0 1 -1786657266
1014313756 703643713 0 0 1717957469
-1459417986 176473710 1 0 -1282944275
-404785339 -1020782438 1 0 -1425567776
1027668362 -1103714126 0 0 -76045764
1256991817 1851811628 1 1 -1186163850
-761382299 -1260518590 0 0 -2021900889
-935770275 449446780 0 0 -486323495
-1864833047 -104737988 0 0 -1969571035
-1347825159 561491749 1 0 -786333409
1470955153 -1048900814 1 0 422054340
1299158861 190481713 1 0 1489640575
-404492091 1883722108 1 0 1479230018
-1452642466 -507465812 0 0 -1960108278
733689320 -2027801607 0 0 -1294112287
-1884583305 1004967830 1 0 -879615474
366005474 840592367 0 0 1206597841
2121859839 -1962114554 0 0 159745285
-756821875 65553364 0 0 -691268511
597626560 -1877223045 0 0 -1279596485
1558677347 1151753167 0 1 -1584536782
-241183855 1565808916 0 0 1324625061
-374073734 -1549273301 0 0 -1923347035
-607698037 62866414 1 0 -544831622
-1416762656 -218988059 0 0 -1635750715
-964583598 1203751398 0 0 239167800
-221466309 -1184223450 1 0 -1405689758
1697391132 -1300656596 0 0 396734536
1887991370 -1880984796 0 0 7006574
-309556309 40586651 1 0 -268969657
-1033611299 1832487385 1 0 798876087
1636623933 -726074650 0 0 910549283
-33582026 1515338959 1 0 1481756934
-1564890664 1270940649 1 0 -293950014
-1251757870 90728374 1 0 -1161029495
1533422078 1608588623 0 1 -1152956595
460650496 1010635070 0 0 1471285566
-1486431171 -493115486 1 0 -1979546656
961103907 572187980 0 0 1533291887
660450947 802752384 1 0 1463203332
-1364502154 -1601319546 1 1 1329145597
-1609735036 -1386343237 1 1 1298889024
1977009824 -16263533 0 0 1960746291
-1662873159 -25438251 1 0 -1688311409
-432059058 1670634186 1 0 1238575129
-2024230228 -239746969 0 1 2030990099
-2087820530 -980510869 1 1 1226635898
682892220 979336230 1 0 1662228451
1411192350 1592476247 0 1 -1291298699
-1737276527 -223083004 0 0 -1960359531
902255038 -117828240 1 0 784426799
-1182949867 -431477676 0 0 -1614427543
-46246995 -1977752540 1 0 -2023999534
-1786258939 2047524197 0 0 261265258
863772355 46843681 1 0 910616037
-1501523180 -1216706580 0 1 1576737536
1679125302 207498188 1 0 1886623491
2116414013 -1440749283 1 0 675664731
828562327 -1200924812 0 0 -372362485
-549020402 1833029793 0 0 1284009391
-233761457 -1430108831 1 0 -1663870287
-767824274 -366555840 0 0 -1134380114
499643020 -1498107637 1 0 -998464616
-909222135 1265976044 0 0 356753909
-1635595521 -238051314 1 0 -1873646834
-522551673 -349880188 0 0 -872431861
-2076915391 -1816759670 0 1 401292235
-282923606 -1497645961 0 0 -1780569567
-661930276 -748681117 0 0 -1410611393
-2139453977 556561316 1 0 -1582892660
171272576 2039792056 1 1 -2083902663
980741002 1405839372 0 1 -1908386922
-1826933901 -1657061225 1 1 810972171
1166034929 1167502416 1 1 -1961429950
754673082 -1212868923 1 0 -458195840
-1945438280 1385985295 0 0 -559452985
1150611983 1759488820 0 1 -1384866493
1475107100 -1258002132 1 0 217104969
766122568 2079932588 1 1 -1448912139
-1597406425 421070784 0 0 -1176335641
1292652897 2143847609 0 1 -858466790
-1502968865 164617760 1 0 -1338351104
-814658774 596647524 0 0 -218011250
892941345 643936728 1 0 1536878074
1208198066 1026585209 1 1 -2060184020
1512524204 228070175 0 0 1740594379
-1929096334 -1250524672 0 1 1115346290
485966666 2083674431 0 1 -1725326199
-1580286219 1802031460 0 0 221745241
1384019310 346150901 0 0 1730170211
518937658 1586575302 0 0 2105512960
-240666534 382302872 0 0 141636338
-1708893913 1097484060 0 0 -611409853
-1475090614 -1337008645 1 1 1482868038
1771600438 1783595207 0 1 -739771651
1587767948 251550779 0 0 1839318727
-3150268 -226910140 0 0 -230060408
876140525 -1680560993 0 0 -804420468
1468347670 833602493 1 1 -1993017132
2120291950 1252452201 0 1 -922223145
1586673053 -866421827 1 0 720251227
-1133456937 -1284620989 1 1 1876889371
-130384508 -469014795 1 0 -599399302
962534101 -1020714033 1 0 -58179931
647705302 -1256817135 1 0 -609111832
1032951613 972039522 0 0 2004991135
-251006216 864476860 0 0 613470644
-927330932 620359766 1 0 -306971165
73638071 -1927910420 0 0 -1854272349
-789461479 1930257700 0 0 1140796221
-250214794 -254415494 0 0 -504630288
53108384 -353457680 1 0 -300349295
852402739 686044330 1 0 1538447070
367842763 -2040381819 1 0 -1672539055
-1841880485 1645072951 0 0 -196807534
1132600603 834891345 1 0 1967491949
-1385395534 -717637466 0 0 -2103033000
378147729 892435511 0 0 1270583240
1811837915 1691485060 0 1 -791644321
-1481979032 609449739 0 0 -872529293
-1397516952 -1732285816 1 1 1165164529
1056412649 2127292458 0 1 -1111262189
549530004 -601260633 0 0 -51730629
1711182249 -334575082 0 0 1376607167
-284665360 1119603617 1 0 834938258
2007798341 -1829844299 0 0 177954042
-1665870829 259213778 1 0 -1406657050
-244417124 -718445425 1 0 -962862548
-820953586 -1603966779 0 1 1870046931
-2147278474 -1195967718 1 1 951721105
692353468 -197707004 0 0 494646464
-1865615138 1615521629 1 0 -250093508
-850244104 -2072703344 0 1 1372019848
1734601068 14234198 1 0 1748835267
-280052520 -899232013 1 0 -1179284532
-437980926 1549840639 1 0 1111859714
-1499133254 -1225462030 1 1 1570372013
-1008075114 2057372036 1 0 1049296923
-523151190 377151 0 0 -522774039
1281529093 -89828435 1 0 1191700659
628125781 -1735557225 0 0 -1107431444
1472861308 504454560 1 0 1977315869
-682387034 -247799640 0 0 -930186674
416832140 806133220 0 0 1222965360
1200948470 1357688095 1 1 -1736330730
1877159014 1776567901 0 1 -641240381
1248550835 -1477244183 1 0 -228693347
760378007 -1842137650 1 0 -1081759642
407121156 286831587 1 0 693952744
409692275 573868377 0 0 983560652
102612686 -947105887 1 0 -844493200
-1111177417 -410567035 1 0 -1521744451
-1115484569 -930464285 1 0 -2045948853
-923271841 -243499554 0 0 -1166771395
-1690690060 -1396562991 1 1 1207714246
125392790 -748393376 0 0 -623000586
2044466630 -869493322 1 0 1174973309
-20811927 592320392 0 0 571508465
187004200 -1563152684 1 0 -1376148483
-1885143795 -1014560244 1 1 1395263258
79315550 890286697 1 0 969602248
471624343 185234224 0 0 656858567
512428010 -1094628954 0 0 -582200944
-1400474831 -821922879 1 1 2072569587
2010068553 332796736 1 1 -1952102006
1581373293 1687304463 1 1 -1026289539
237427921 -814560419 0 0 -577132498
-917907934 1436925783 0 0 519017849
1518299401 -1466818243 1 0 51481159
-415707775 1326695665 1 0 910987891
1227386130 1947932706 1 1 -1119648459
-1423576515 -1104152250 1 1 1767238532
455077796 -774216192 0 0 -319138396
-1411841780 40544959 0 0 -1371296821
-1756313971 -1702266579 1 1 836386747
974051098 945312473 0 0 1919363571
-2123087977 -457540432 0 1 1714338887
-1797406065 1092667531 1 0 -704738533
619866668 -1992871212 1 0 -1373004543
-1089173707 897118225 0 0 -192055482
1772501005 2124965129 1 1 -397501161
788490638 160128594 0 0 948619232
141231438 242008314 0 0 383239752
-718233735 -1734469070 1 1 1842264492
1235705513 -1667103269 0 0 -431397756
1093761621 -1622065734 1 0 -528304112
213958555 866105321 0 0 1080063876
1644465161 1488569199 1 1 -1161932935
-1442101661 1931234250 1 0 489132590
2143733358 -590319033 1 0 1553414326
160563205 1632356385 1 0 1792919591
-1976323633 -736516485 0 1 1582127178
1363957782 -1748249830 0 0 -384292048
224324496 2126120923 0 1 -1944521877
-1333561002 1366286605 0 0 32725603
144915491 336181320 1 0 481096812
1595638903 -48036313 0 0 1547602590
-1121069796 -446191910 1 0 -1567261705
141809602 1146896259 0 0 1288705861
965749088 709652661 1 0 1675401750
-94865575 578160819 1 0 483295245
728125687 971803071 1 0 1699928759
1936586479 -1211743342 0 0 724843137
-1364662666 -1743409849 0 1 1186894781
1708116146 -575793053 0 0 1132323093
434594997 -1728731800 1 0 -1294136802
-1407649420 -1592347801 0 1 1294970075
-1820970484 -138724070 1 0 -1959694553
2030301833 850043280 0 1 -1414622183
1229639350 1667664800 1 1 -1397663145
1052913808 279323645 1 0 1332237454
944815821 82589457 1 0 1027405279
1800854229 5104945 0 0 1805959174
-587332564 1369842403 0 0 782509839
-196629071 -601560644 0 0 -798189715
-1042736042 -463762281 0 0 -1506498323
-444539523 1018166590 0 0 573627067
-684307077 -1539808124 1 1 2070852096
-1781899665 -1725439068 1 1 787628564
-1453120524 368480649 1 0 -1084639874
1110057788 -1141102706 1 0 -31044917
337504490 1133641792 1 0 1471146283
-303763645 319185892 0 0 15422247
1068106929 -933283504 1 0 134823426
-600761417 2021744054 0 0 1420982637
909861293 -81612123 1 0 828249171
700237466 -1028598051 0 0 -328360585
1251568981 -1962604347 0 0 -711035366
-81377031 1777091679 1 0 1695714649
1068531309 -1580903036 0 0 -512371727
1091912895 -23307403 1 0 1068605493
-1719165037 1125833297 1 0 -593331739
921844515 -433866471 1 0 487978045
-123851933 -1219869603 1 0 -1343721535
-835882014 -1682931866 0 1 1776153416
-1957467735 -163519843 0 0 -2120987578
-531597580 510370297 0 0 -21227283
1147119011 -1517297033 0 0 -370178022
362697769 419346351 0 0 782044120
-1846927158 1538291429 0 0 -308635729
1828772939 98181427 1 0 1926954367
-713082951 166631474 1 0 -546451476
91273042 -114294810 1 0 -23021767
1535358322 886835169 0 1 -1872773805
-2137070362 -571440937 1 1 1586455998
534470310 963293971 1 0 1497764282
802450710 718662360 1 0 1521113071
-553600047 -958171015 1 0 -1511771061
-1116043170 366608335 0 0 -749434835
1799716503 -490387303 1 0 1309329201
-1595059383 1555997720 0 0 -39061663
1709864457 1817851739 0 1 -767251100
1173443519 359913064 1 0 1533356584
1763153006 -1368897650 1 0 394255357
-1130045997 -261992759 0 0 -1392038756
453917252 -1102260979 0 0 -648343727
